nome,endereco,localidade,tipo,latitude,longitude
Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),Sede na região de São Sebastião,São Sebastião,Associação/Cooperativa,-15.8914,-47.7736
Associação Agrícola do Distrito Federal e Ride (Agrifam),"Sede na região de Taguatinga, Gama, Santa Maria","Taguatinga, Gama, Santa Maria",Associação/Cooperativa,-15.8344,-48.0556
"Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista)",Sede na região de Santa Maria,Santa Maria,Associação/Cooperativa,-16.0178,-48.0083
Associação dos Produtores da Agricultura Familiar (Aspaf),"Sede na região de Guará, Núcleo Bandeirante, Plano Piloto","Guará, Núcleo Bandeirante, Plano Piloto",Associação/Cooperativa,-15.8308,-47.9697
Associação dos Produtores Rurais de Alexandre Gusmão (Asspag),Sede na região de Brazlândia,Brazlândia,Associação/Cooperativa,-15.6703,-48.2014
Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),"Sede na região de Gama, Santa Maria, Plano Piloto","Gama, Santa Maria, Plano Piloto",Associação/Cooperativa,-16.0192,-48.0653
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),"Sede na região de Ceilândia, Recanto das Emas, Samambaia, Paranoá, Planaltina","Ceilândia, Recanto das Emas, Samambaia, Paranoá, Planaltina",Associação/Cooperativa,-15.8186,-48.1217
Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),"Sede na região de Ceilândia, Recanto das Emas","Ceilândia, Recanto das Emas",Associação/Cooperativa,-15.8186,-48.1217
Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),Sede na região de Guará,Guará,Associação/Cooperativa,-15.8308,-47.9697
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),"Sede na região de Gama, Recanto das Emas, Samambaia, Núcleo Bandeirante, Plano Piloto","Gama, Recanto das Emas, Samambaia, Núcleo Bandeirante, Plano Piloto",Associação/Cooperativa,-16.0192,-48.0653
Cooperativa Agrícola da Região de Planaltina (Cootaquara),Sede na região de Planaltina,Planaltina,Associação/Cooperativa,-15.6178,-47.6528
Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),Sede na região de Brazlândia,Brazlândia,Associação/Cooperativa,-15.6703,-48.2014
Cooperativa dos Produtores Rurais de Brazlândia (Coopabra),Sede na região de Brazlândia,Brazlândia,Associação/Cooperativa,-15.6703,-48.2014
Cooperativa dos Produtores Rurais do PAD-DF (Coopadf),Sede na região de PAD-DF,PAD-DF,Associação/Cooperativa,-15.9833,-47.6333
Cooperativa Agropecuária e Industrial do Rio Preto (Coopari),Sede na região de Planaltina,Planaltina,Associação/Cooperativa,-15.6178,-47.6528
Cooperativa de Produção Agropecuária dos Assentados e Pequenos Produtores Rurais do Distrito Federal e Entorno (Coopercal),Sede na região de Brazlândia,Brazlândia,Associação/Cooperativa,-15.6703,-48.2014
"Cooperativa de Trabalho, Consultoria, Instrutoria e Serviços para o Desenvolvimento Agropecuário, Econômico e Social (Agrocoop)",Sede na região de Lago Sul,Lago Sul,Associação/Cooperativa,-15.8372,-47.8731
